,agg,agg,agg,agg,agg,agg,agg,agit,agit,agit,agit,agit,agit,agit,cheer,cheer,cheer,cheer,cheer,cheer,cheer,refl,refl,refl,refl,refl,refl,refl,sad,sad,sad,sad,sad,sad,sad
metric,OURS,super_baseline,k_lora,halfsum,instruct,style_instruct,theme_instruct,OURS,super_baseline,k_lora,halfsum,instruct,style_instruct,theme_instruct,OURS,super_baseline,k_lora,halfsum,instruct,style_instruct,theme_instruct,OURS,super_baseline,k_lora,halfsum,instruct,style_instruct,theme_instruct,OURS,super_baseline,k_lora,halfsum,instruct,style_instruct,theme_instruct
rank_normalized_rank,.67,.93,.49,.32,.28,.21,.60,.66,.85,.41,.38,.28,.59,.33,.63,.88,.36,.36,.26,.38,.63,.54,.83,.44,.49,.36,.58,.24,.70,.92,.49,.33,.29,.24,.54
rank_top2_rate,.42,.90,.23,.01,.03,.00,.41,.41,.77,.17,.07,.06,.36,.16,.35,.84,.10,.07,.06,.06,.52,.32,.77,.23,.17,.06,.32,.13,.51,.91,.20,.01,.04,.01,.30
rank_top3_rate,.75,.99,.32,.17,.13,.03,.61,.71,.86,.30,.20,.10,.57,.26,.71,.91,.28,.13,.13,.26,.58,.51,.81,.32,.42,.25,.54,.16,.74,.99,.32,.17,.19,.04,.55
score_mean_topic_rel,.90,.93,.25,.36,.36,.74,.67,.64,.77,.29,.27,.29,.69,.40,.74,.88,.20,.41,.32,.70,.38,.71,.84,.32,.38,.41,.71,.22,.90,.93,.25,.36,.36,.74,.67
score_mean_style,.69,.80,.63,.36,.37,.36,.71,.48,.73,.58,.50,.33,.42,.59,.44,.75,.60,.44,.31,.29,.72,.47,.68,.53,.44,.41,.45,.49,.71,.80,.63,.36,.37,.36,.71
score_mean_depth,.53,.60,.16,.21,.15,.45,.35,.34,.42,.16,.17,.13,.40,.17,.40,.45,.12,.23,.14,.42,.14,.42,.54,.17,.22,.19,.46,.11,.55,.60,.16,.21,.15,.45,.35
score_mean_coherence,.63,.75,.34,.19,.19,.35,.57,.38,.60,.32,.25,.22,.40,.35,.38,.63,.23,.23,.20,.28,.31,.44,.66,.24,.23,.25,.46,.20,.65,.75,.34,.19,.19,.35,.58
score_mean_score,.60,.69,.17,.17,.16,.34,.44,.34,.50,.15,.15,.12,.35,.22,.37,.58,.12,.19,.12,.29,.23,.39,.58,.20,.19,.19,.38,.13,.60,.69,.17,.17,.16,.34,.44
