column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.32,0.01,0.1
instruct,Overall,0.23,0.0,0.06
k_lora,Overall,0.47,0.08,0.37
ours_augmented,Overall,0.68,0.13,0.67
style_instruct,Overall,0.38,0.02,0.16
super_baseline,Overall,0.84,0.51,0.86
theme_instruct,Overall,0.57,0.07,0.51
halfsum,Group_1_rows_1_25,0.49,0.04,0.32
instruct,Group_1_rows_1_25,0.1,0.0,0.04
k_lora,Group_1_rows_1_25,0.67,0.04,0.64
ours_augmented,Group_1_rows_1_25,0.55,0.08,0.4
style_instruct,Group_1_rows_1_25,0.3,0.04,0.12
super_baseline,Group_1_rows_1_25,0.83,0.44,0.8
theme_instruct,Group_1_rows_1_25,0.55,0.0,0.44
halfsum,Group_2_rows_26_50,0.27,0.0,0.0
instruct,Group_2_rows_26_50,0.11,0.0,0.0
k_lora,Group_2_rows_26_50,0.74,0.2,0.84
ours_augmented,Group_2_rows_26_50,0.59,0.04,0.48
style_instruct,Group_2_rows_26_50,0.26,0.0,0.04
super_baseline,Group_2_rows_26_50,0.83,0.4,0.92
theme_instruct,Group_2_rows_26_50,0.72,0.16,0.68
halfsum,Group_3_rows_51_75,0.31,0.0,0.0
instruct,Group_3_rows_51_75,0.41,0.0,0.16
k_lora,Group_3_rows_51_75,0.38,0.04,0.12
ours_augmented,Group_3_rows_51_75,0.73,0.2,0.68
style_instruct,Group_3_rows_51_75,0.49,0.08,0.24
super_baseline,Group_3_rows_51_75,0.77,0.48,0.68
theme_instruct,Group_3_rows_51_75,0.43,0.0,0.2
halfsum,Group_4_rows_76_100,0.37,0.0,0.2
instruct,Group_4_rows_76_100,0.27,0.0,0.08
k_lora,Group_4_rows_76_100,0.29,0.12,0.12
ours_augmented,Group_4_rows_76_100,0.75,0.12,0.92
style_instruct,Group_4_rows_76_100,0.45,0.0,0.24
super_baseline,Group_4_rows_76_100,0.85,0.68,0.88
theme_instruct,Group_4_rows_76_100,0.51,0.04,0.56
halfsum,Group_5_rows_101_plus,0.24,0.0,0.02
instruct,Group_5_rows_101_plus,0.26,0.0,0.02
k_lora,Group_5_rows_101_plus,0.34,0.05,0.23
ours_augmented,Group_5_rows_101_plus,0.72,0.18,0.8
style_instruct,Group_5_rows_101_plus,0.4,0.0,0.16
super_baseline,Group_5_rows_101_plus,0.89,0.55,0.95
theme_instruct,Group_5_rows_101_plus,0.6,0.11,0.59
