aggr5_0_score,aggr5_10_multiple_score,aggr5_10_single_score,aggr5_15_multiple_score,aggr5_15_single_score,aggr5_20_multiple_score,aggr5_20_single_score,aggr5_5_multiple_score,aggr5_5_single_score,aggr5_augmented_score,aggr7_0_score,aggr7_10_multiple_score,aggr7_10_single_score,aggr7_15_multiple_score,aggr7_15_single_score,aggr7_20_multiple_score,aggr7_20_single_score,aggr7_5_multiple_score,aggr7_5_single_score
0.000,0.396,0.000,0.288,0.000,0.000,0.387,0.000,0.333,0.534,0.333,0.000,0.445,0.392,0.445,0.406,0.473,0.406,0.295
0.655,0.333,0.392,0.406,0.416,0.000,0.392,0.639,0.406,0.333,0.333,0.333,0.416,0.540,0.777,0.000,0.333,0.000,0.655
0.406,0.295,0.295,0.295,0.000,0.000,0.541,0.367,0.288,0.612,0.000,0.000,0.485,0.416,0.000,0.459,0.525,0.559,0.333
0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.425,0.333,0.367,0.000,0.288,0.333,0.544,0.000,0.333,0.580,0.295,0.000
0.000,0.000,0.333,0.557,0.333,0.333,0.000,0.557,0.419,0.505,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.333
0.477,0.600,0.640,0.440,0.608,0.392,0.406,0.445,0.410,0.406,0.406,0.525,0.406,0.392,0.392,0.735,0.000,0.760,0.000
0.333,0.387,0.392,0.000,0.382,0.612,0.406,0.333,0.333,0.607,0.406,0.333,0.333,0.540,0.000,0.406,0.333,0.406,0.294
0.387,0.000,0.000,0.000,0.000,0.396,0.225,0.000,0.000,0.605,0.000,0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.474
0.392,0.387,0.580,0.437,0.000,0.392,0.333,0.000,0.406,0.000,0.491,0.531,0.525,0.682,0.503,0.500,0.505,0.294,0.406
0.416,0.416,0.406,0.333,0.367,0.406,0.333,0.000,0.333,0.294,0.000,0.580,0.000,0.333,0.541,0.400,0.333,0.605,0.445
0.333,0.392,0.485,0.333,0.680,0.658,0.333,0.392,0.406,0.416,0.295,0.387,0.575,0.514,0.655,0.367,0.333,0.406,0.333
0.000,0.605,0.445,0.000,0.520,0.000,0.000,0.000,0.703,0.392,0.737,0.580,0.491,0.660,0.450,0.000,0.000,0.000,0.575
0.445,0.000,0.575,0.000,0.000,0.000,0.000,0.505,0.640,0.705,0.595,0.000,0.000,0.605,0.000,0.000,0.000,0.459,0.760
0.541,0.000,0.000,0.000,0.406,0.000,0.000,0.459,0.000,0.000,0.000,0.333,0.520,0.000,0.713,0.000,0.000,0.406,0.672
0.605,0.000,0.406,0.000,0.000,0.000,0.000,0.000,0.445,0.367,0.520,0.593,0.367,0.333,0.575,0.000,0.000,0.333,0.416
0.000,0.000,0.540,0.645,0.000,0.000,0.703,0.000,0.459,0.703,0.000,0.705,0.000,0.000,0.000,0.000,0.000,0.396,0.480
0.000,0.559,0.660,0.509,0.000,0.000,0.000,0.000,0.387,0.682,0.000,0.000,0.555,0.000,0.000,0.000,0.406,0.000,0.000
0.000,0.000,0.703,0.392,0.645,0.392,0.387,0.000,0.459,0.605,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.333,0.522
0.640,0.000,0.575,0.612,0.445,0.595,0.000,0.598,0.737,0.000,0.000,0.547,0.607,0.000,0.612,0.000,0.000,0.640,0.000
0.575,0.773,0.559,0.000,0.000,0.000,0.500,0.500,0.000,0.541,0.000,0.000,0.000,0.000,0.000,0.000,0.555,0.000,0.513
0.406,0.575,0.000,0.392,0.406,0.575,0.000,0.406,0.000,0.000,0.541,0.000,0.660,0.705,0.000,0.639,0.406,0.640,0.406
0.700,0.000,0.000,0.000,0.459,0.000,0.600,0.500,0.672,0.584,0.000,0.000,0.000,0.406,0.559,0.000,0.000,0.000,0.000
0.000,0.555,0.000,0.640,0.000,0.000,0.000,0.595,0.000,0.803,0.640,0.547,0.477,0.000,0.737,0.672,0.672,0.660,0.640
0.000,0.640,0.392,0.348,0.406,0.000,0.000,0.525,0.000,0.000,0.522,0.000,0.000,0.000,0.630,0.000,0.000,0.392,0.000
0.000,0.000,0.000,0.000,0.000,0.773,0.593,0.000,0.445,0.445,0.000,0.000,0.645,0.580,0.000,0.598,0.000,0.419,0.000
0.598,0.392,0.600,0.605,0.559,0.500,0.465,0.392,0.693,0.000,0.600,0.000,0.000,0.367,0.580,0.763,0.425,0.000,0.607
0.000,0.000,0.000,0.655,0.580,0.000,0.000,0.575,0.000,0.406,0.406,0.525,0.392,0.000,0.000,0.559,0.655,0.500,0.406
