column,group,normalized_rank,top1_rate,top3_rate
cheerful_augmented_more,Overall,0.59,0.11,0.52
halfsum,Overall,0.46,0.06,0.28
instruct,Overall,0.28,0.0,0.08
k_lora,Overall,0.42,0.05,0.3
style_instruct,Overall,0.41,0.03,0.2
super_baseline,Overall,0.87,0.68,0.85
theme_instruct,Overall,0.47,0.05,0.34
cheerful_augmented_more,"(1-25) Style, Theme",0.55,0.12,0.4
halfsum,"(1-25) Style, Theme",0.67,0.2,0.6
instruct,"(1-25) Style, Theme",0.17,0.0,0.0
k_lora,"(1-25) Style, Theme",0.42,0.04,0.44
style_instruct,"(1-25) Style, Theme",0.31,0.0,0.08
super_baseline,"(1-25) Style, Theme",0.85,0.6,0.88
theme_instruct,"(1-25) Style, Theme",0.52,0.04,0.44
cheerful_augmented_more,"(26-50) not Style, Theme",0.49,0.08,0.4
halfsum,"(26-50) not Style, Theme",0.45,0.0,0.28
instruct,"(26-50) not Style, Theme",0.15,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.65,0.08,0.68
style_instruct,"(26-50) not Style, Theme",0.27,0.0,0.08
super_baseline,"(26-50) not Style, Theme",0.87,0.64,0.88
theme_instruct,"(26-50) not Style, Theme",0.6,0.12,0.48
cheerful_augmented_more,"(51-75) Style, not Theme",0.66,0.16,0.52
halfsum,"(51-75) Style, not Theme",0.48,0.08,0.24
instruct,"(51-75) Style, not Theme",0.41,0.0,0.16
k_lora,"(51-75) Style, not Theme",0.39,0.0,0.12
style_instruct,"(51-75) Style, not Theme",0.48,0.04,0.24
super_baseline,"(51-75) Style, not Theme",0.83,0.68,0.76
theme_instruct,"(51-75) Style, not Theme",0.31,0.0,0.0
cheerful_augmented_more,"(76-100) not Style, not Theme",0.62,0.16,0.64
halfsum,"(76-100) not Style, not Theme",0.4,0.0,0.16
instruct,"(76-100) not Style, not Theme",0.31,0.0,0.12
k_lora,"(76-100) not Style, not Theme",0.35,0.08,0.24
style_instruct,"(76-100) not Style, not Theme",0.4,0.0,0.16
super_baseline,"(76-100) not Style, not Theme",0.89,0.68,0.88
theme_instruct,"(76-100) not Style, not Theme",0.47,0.08,0.4
cheerful_augmented_more,(101+) General,0.61,0.07,0.59
halfsum,(101+) General,0.38,0.02,0.18
instruct,(101+) General,0.33,0.0,0.09
k_lora,(101+) General,0.34,0.05,0.14
style_instruct,(101+) General,0.5,0.07,0.34
super_baseline,(101+) General,0.88,0.75,0.86
theme_instruct,(101+) General,0.45,0.02,0.36
cheerful_augmented_more,(1-50) Theme,0.52,0.1,0.4
halfsum,(1-50) Theme,0.56,0.1,0.44
instruct,(1-50) Theme,0.16,0.0,0.0
k_lora,(1-50) Theme,0.53,0.06,0.56
style_instruct,(1-50) Theme,0.29,0.0,0.08
super_baseline,(1-50) Theme,0.86,0.62,0.88
theme_instruct,(1-50) Theme,0.56,0.08,0.46
cheerful_augmented_more,(51+) no Theme,0.63,0.12,0.59
halfsum,(51+) no Theme,0.41,0.03,0.19
instruct,(51+) no Theme,0.35,0.0,0.12
k_lora,(51+) no Theme,0.35,0.04,0.16
style_instruct,(51+) no Theme,0.47,0.04,0.27
super_baseline,(51+) no Theme,0.87,0.71,0.84
theme_instruct,(51+) no Theme,0.42,0.03,0.28
cheerful_augmented_more,"(76+) no Theme, no Style, General",0.62,0.1,0.61
halfsum,"(76+) no Theme, no Style, General",0.39,0.01,0.17
instruct,"(76+) no Theme, no Style, General",0.32,0.0,0.1
k_lora,"(76+) no Theme, no Style, General",0.34,0.06,0.17
style_instruct,"(76+) no Theme, no Style, General",0.47,0.04,0.28
super_baseline,"(76+) no Theme, no Style, General",0.89,0.72,0.87
theme_instruct,"(76+) no Theme, no Style, General",0.46,0.04,0.38
cheerful_augmented_more,"(1-25, 51-75) Style",0.61,0.14,0.46
halfsum,"(1-25, 51-75) Style",0.58,0.14,0.42
instruct,"(1-25, 51-75) Style",0.29,0.0,0.08
k_lora,"(1-25, 51-75) Style",0.41,0.02,0.28
style_instruct,"(1-25, 51-75) Style",0.4,0.02,0.16
super_baseline,"(1-25, 51-75) Style",0.84,0.64,0.82
theme_instruct,"(1-25, 51-75) Style",0.42,0.02,0.22
cheerful_augmented_more,"(26-50, 76-100) no Style",0.56,0.12,0.52
halfsum,"(26-50, 76-100) no Style",0.42,0.0,0.22
instruct,"(26-50, 76-100) no Style",0.23,0.0,0.06
k_lora,"(26-50, 76-100) no Style",0.5,0.08,0.46
style_instruct,"(26-50, 76-100) no Style",0.33,0.0,0.12
super_baseline,"(26-50, 76-100) no Style",0.88,0.66,0.88
theme_instruct,"(26-50, 76-100) no Style",0.54,0.1,0.44
