aggr5_0,aggr5_10_multiple,aggr5_10_single,aggr5_15_multiple,aggr5_15_single,aggr5_20_multiple,aggr5_20_single,aggr5_5_multiple,aggr5_5_single,aggr5_augmented,aggr7_0,aggr7_10_multiple,aggr7_10_single,aggr7_15_multiple,aggr7_15_single,aggr7_20_multiple,aggr7_20_single,aggr7_5_multiple,aggr7_5_single
0.0,0.396,0.0,0.288,0.0,0.0,0.387,0.0,0.333,0.534,0.333,0.0,0.445,0.392,0.445,0.406,0.473,0.406,0.295
0.655,0.333,0.392,0.406,0.416,0.0,0.392,0.639,0.406,0.333,0.333,0.333,0.416,0.54,0.777,0.0,0.333,0.0,0.655
0.406,0.295,0.295,0.295,0.0,0.0,0.541,0.367,0.288,0.612,0.0,0.0,0.485,0.416,0.0,0.459,0.525,0.559,0.333
0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.425,0.333,0.367,0.0,0.288,0.333,0.544,0.0,0.333,0.58,0.295,0.0
0.0,0.0,0.333,0.557,0.333,0.333,0.0,0.557,0.419,0.505,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.333
0.477,0.6,0.64,0.44,0.608,0.392,0.406,0.445,0.41,0.406,0.406,0.525,0.406,0.392,0.392,0.735,0.0,0.76,0.0
0.333,0.387,0.392,0.0,0.382,0.612,0.406,0.333,0.333,0.607,0.406,0.333,0.333,0.54,0.0,0.406,0.333,0.406,0.294
0.387,0.0,0.0,0.0,0.0,0.396,0.225,0.0,0.0,0.605,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.474
0.392,0.387,0.58,0.437,0.0,0.392,0.333,0.0,0.406,0.0,0.491,0.531,0.525,0.682,0.503,0.5,0.505,0.294,0.406
0.416,0.416,0.406,0.333,0.367,0.406,0.333,0.0,0.333,0.294,0.0,0.58,0.0,0.333,0.541,0.4,0.333,0.605,0.445
0.333,0.392,0.485,0.333,0.68,0.658,0.333,0.392,0.406,0.416,0.295,0.387,0.575,0.514,0.655,0.367,0.333,0.406,0.333
0.0,0.605,0.445,0.0,0.52,0.0,0.0,0.0,0.703,0.392,0.737,0.58,0.491,0.66,0.45,0.0,0.0,0.0,0.575
0.445,0.0,0.575,0.0,0.0,0.0,0.0,0.505,0.64,0.705,0.595,0.0,0.0,0.605,0.0,0.0,0.0,0.459,0.76
0.541,0.0,0.0,0.0,0.406,0.0,0.0,0.459,0.0,0.0,0.0,0.333,0.52,0.0,0.713,0.0,0.0,0.406,0.672
0.605,0.0,0.406,0.0,0.0,0.0,0.0,0.0,0.445,0.367,0.52,0.593,0.367,0.333,0.575,0.0,0.0,0.333,0.416
0.0,0.0,0.54,0.645,0.0,0.0,0.703,0.0,0.459,0.703,0.0,0.705,0.0,0.0,0.0,0.0,0.0,0.396,0.48
0.0,0.559,0.66,0.509,0.0,0.0,0.0,0.0,0.387,0.682,0.0,0.0,0.555,0.0,0.0,0.0,0.406,0.0,0.0
0.0,0.0,0.703,0.392,0.645,0.392,0.387,0.0,0.459,0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.333,0.522
0.64,0.0,0.575,0.612,0.445,0.595,0.0,0.598,0.737,0.0,0.0,0.547,0.607,0.0,0.612,0.0,0.0,0.64,0.0
0.575,0.773,0.559,0.0,0.0,0.0,0.5,0.5,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.513
0.406,0.575,0.0,0.392,0.406,0.575,0.0,0.406,0.0,0.0,0.541,0.0,0.66,0.705,0.0,0.639,0.406,0.64,0.406
0.7,0.0,0.0,0.0,0.459,0.0,0.6,0.5,0.672,0.584,0.0,0.0,0.0,0.406,0.559,0.0,0.0,0.0,0.0
0.0,0.555,0.0,0.64,0.0,0.0,0.0,0.595,0.0,0.803,0.64,0.547,0.477,0.0,0.737,0.672,0.672,0.66,0.64
0.0,0.64,0.392,0.348,0.406,0.0,0.0,0.525,0.0,0.0,0.522,0.0,0.0,0.0,0.63,0.0,0.0,0.392,0.0
0.0,0.0,0.0,0.0,0.0,0.773,0.593,0.0,0.445,0.445,0.0,0.0,0.645,0.58,0.0,0.598,0.0,0.419,0.0
0.598,0.392,0.6,0.605,0.559,0.5,0.465,0.392,0.693,0.0,0.6,0.0,0.0,0.367,0.58,0.763,0.425,0.0,0.607
